GATE_DL_AL: 3359.59><284.5665><2347.882><145.2796><1><Dustbowl
DL_01: -2089.91><-133.9335><-1386.118><-78.72038><0><Conurbation
DL_S12: -573.4094><-225.4335><-172.1174><27.27962><2><Conurbation
DL_03: -1863.41><185.5665><-1126.118><119.2796><0><Conurbation
DL_04: -1830.41><362.5665><-1224.118><225.2796><1><Conurbation
DL_05: -1452.41><524.5665><-1036.118><399.2796><1><Conurbation
DL_06: -1344.41><964.0665><-752.1174><651.2796><1><Conurbation
DL_07: -903.4094><739.0665><-464.1173><589.2796><1><Conurbation
DL_08: 1883.59><29.56648><1167.882><101.2796><1><Dustbowl
DL_59: 494.5907><-97.93353><425.8827><55.27962><1><Dustbowl
DL_10: -198.4093><-84.43353><-136.1174><113.2796><1><Dustbowl
DL_11: 131.5907><-208.9335><285.8827><27.27962><1><Dustbowl
DL_S13: 1358.59><182.5665><927.8826><303.2796><0><Dustbowl
DL_14: 1034.59><-111.4335><823.8826><69.27962><1><
DL_15: -303.4093><-432.4335><49.88267><-88.72038><0><Dustbowl
DL_16: 908.5906><-364.9335><675.8826><-256.7204><0><
DL_17: 914.5906><-574.9335><705.8826><-356.7204><1><
DL_18: 1766.59><-157.9335><1193.882><-70.72038><0><Dustbowl
DL_19: 1883.59><287.5665><1187.882><337.2796><2><Dustbowl
DL_20: 2321.59><359.5665><1585.882><415.2796><2><Dustbowl
DL_21: 2633.59><98.56647><1535.882><109.2796><0><Dustbowl
DL_22: 3008.59><398.5665><2005.882><213.2796><1><Dustbowl
DL_S22: 3353.59><593.5665><2279.882><329.2796><2><Dustbowl
DL_23: -1345.91><1660.066><-748.1174><1021.279><1><Conurbation
DL_24: 548.5906><-361.9335><457.8827><-244.7204><0><
DL_S24: 560.5906><-487.9335><475.8827><-354.7204><1><
DL_25: -321.4093><-282.4335><47.88267><9.27962><1><
DL_26: -579.4094><616.0665><-278.1173><569.2796><2><Conurbation
DL_S26: -846.4094><566.5665><-506.1173><505.2796><1><Conurbation
